SKU,Product_Name,Category,Supplier,Stock_Qty,Reorder_Level,Unit_Cost,Warehouse,Last_Restock,Status
SKU-500038,Product 39,N/A,Global Parts,999999,17,562.82,WH-MEL,2022-11-26,N/A
SKU-500039,Product 40,soft ware,Metro Goods,NaN,140,343.83,WH-PER,25/04/2025,In Stock
SKU-500040,Product 41,Software,Nova,5,31,100.06,WH-SYD,14.09.2022,Low Stock
SKU-500041,product_name,soft ware,Vertex Trading,347,92,AUD 500,WH-MEL,13/13/26,In Stock
SKU-500042,Product 43,Accessories,Apex Supply,382,29,321.89,WH-ADE,13/13/26,In Stock
SKU-500043,Product 44,office supplies,Apex Supply,"1,200",111,1198.73,WH-MEL,2026-13-44,INSTOCK
SKU-500044,Product 45,Software,Metro Goods,ten,107,407.97,N/A,2021/04/05,In Stock
SKU-500045,Product 46,Office,Prime Source,898,141,1964.15,WH-SYD,2021-05-15,In Stock
sku-500046,Product 47,Electronics,Vertex Trading,448,45,1114.66,WH-PER,2021-12-20,unknown
SKU 500047,Product 48,N/A,123,"1,200",129,1621.89,Sydney Warehouse,2026/05/04,In Stock
SKU-500048,Product 49,Electronics,Apex Supply,500 units,twenty,1039.75,WH-SYD,2024-06-16,INSTOCK
SKU-500049,Product 50,Software,Metro Goods,761,50 units,53.76,WH-SYD,23.11.2022,In Stock
SKU-500050,,Accessories,N/A,405,N/A,1580.51,Melbourne WH,01 Apr 2026,In Stock
SKU-500051,Product 52,Office,Metro Goods,635,1O,346.73,WH-ADE,2022/04/11,In Stock
SKU-500052,Product 53,Office,Global Parts,ten,9999,FREE,WH-MEL,07-15-2025,In Stock
SKU-500053,Product 54,Electronics,,30,17,945.21,WH-MEL,04-27-2026,INSTOCK
SKU-500054,Product 55,office supplies,Global Parts,999999,24,9999999,WH-PER,,In Stock
SKU-500055,Unknown Item,Accessories,123,394,NaN,AUD 500,WH-ADE,2022/03/23,outofstock
SKU-500056,Product 57,accessory,Prime Source,489,130,"2 500,00",unknown,24/03/2022,In Stock
,Product 58,Home,Global Parts,-50,,1006.94,WH-PER,2022/12/31,In Stock
SKU-500058,Product 59,Accessories,123,679,-10,1852.22,WH-ADE,2021-10-05,In Stock
SKU-500059,Product 60,Accessories,Nova  Wholesale,113,23,1623.25,WH-PER,26/04/2023,outofstock
SKU-????,Product 61,Accessories,Nova Wholesale,500 units,50 units,1533.72,WH-PER,2026-02-31,In Stock
SKU-500061,Product 62,Office,PrimeSource,0.5,31,179.21,ADE,09-22-2025,In Stock
SKU-500062,Product 63,Home,Prime Source,,62,9999999,WH-ADE,?,In Stock
SKU-500063,Product 64,Unknown,Nova Wholesale,175,76,2043.15,ADE,09-13-2023,In Stock
SKU-500064,Product 65,Office,Vertex Trading,233,43,571.03,Warehouse 1,2022-07-10,0
SKU-500065,Product 66,Software,Vertex Trading,512,63,666.19,WH-BNE,-,In Stock
sku-500066,Product,,Vertex Trading,37,twenty,1698.39,Warehouse 1,-,Low Stock
SKU 500067,Product 68,Software,Nova Wholesale,129,N/A,622.26,WH-PER,2025-01-01,In Stock
,Product 69,electronics,Metro Goods,551,1O,463.06,WH-MEL,2026-13-44,In Stock
12345,N/A,Software,Metro Goods,376,9999,1519.38,Melbourne WH,2023-08-10,In Stock
SKU-500070,Product 71,electronic,Nova Wholesale,687,142,"2 500,00",WH-SYD,NULL,In Stock
SKU-500071,Product 72,Office,Prime Source,803,NaN,1728.25,ADE,20.12.2024,low
SKU 500072,Product 73,Software,Nova Wholesale,846,22,566.16,WH-MEL,2021/02/17,In Stock
SKU-500073,Product 74,Home,Apex Supply,482,35,$99.99,WH-SYD,05/06/2022,In Stock
12345,Product 75,Office,Global Parts,149,9999,N/A,WH-PER,2025/11/05,In Stock
SKU-500075,Product 76,Electronics,PrimeSource,0.5,126,1879.37,WH-SYD,06-18-2026,in stock
SKU-500076,Unknown Item,Home,metro goods,463,39,2127.46,WH-MEL,14.10.2024,In Stock
SKU-500077,Product 78,accessory,PrimeSource,396,66,931.54,WH-BNE,22.06.2023,In Stock
SKU-500078,Product 79,Electronics,PrimeSource,495,17,662.64,WH-ADE,29 Mar 2023,N/A
SKU-500079,product_name,Office,Nova,224,93,473.0,WH-MEL,18/11/2023,In Stock
SKU-500080,Product 81,Software,Apex Supply,"1,200",9999,2019.28,WH-SYD,20/01/2021,N/A
NULL,Product 82,Software,Vertex Trading,620,18,415.0,WH-PER,null,In Stock
SKU-500082,Product 83,Software,Nova Wholesale,727,101,,WH-SYD,none,N/A
SKU-500083,Product 84,,Nova Wholesale,610,108,1107.1,wh-per ,2024-06-09,In Stock
SKU-500084,Product 85,office supplies,Nova Wholesale,53,79,1963.23,WH-SYD,08/03/2021,Low Stock
SKU-500085,Product 86,Software,Prime Source,54,50 units,235.83,WH-ADE,2022/10/06,0
N/A,Product 87,Home & Living,Nova Wholesale,0.5,NaN,194.75,WH-bne,none,In Stock
SKU-500087,product_name,Electronics,PrimeSource,661,-10,1225.77,WH-SYD,21.03.2022,In Stock
SKU-500088,Product 89,Accessories,Vertex Trading,301,-10,934.33,WH-SYD,08.10.2025,In Stock
SKU-500089,Product 90,Home,Prime Source,ten,29,,WH-PER,24 Dec 2024,In Stock
SKU-500090,Product 91,office supplies,GlobalParts,,106,1952.74,WH-MEL,2023/04/14,Low Stock
N/A,Product 92,Software,Global Parts,639,98,FREE,Melbourne WH,11/10/2022,Not Available
SKU-500092,Product 93,Electronics,Nova Wholesale,134,48,2326.8,WH-ADE,2022/06/08,In Stock
SKU-500093,123456,office supplies,Apex Supply,109,123,$99.99,WH-ADE,13/13/26,Available
SKU-500094,Product 95,Home,Metro Goods,288,0,1015.3,SYD,2025/09/02,In Stock
SKU-500095,Product 96,ELECTRONICS ,Nova Wholesale,,60,FREE,WH-PER,28.05.2021,In Stock
SKU-500096,Product 97,N/A,Global Parts,639,N/A,1488.14,WH-PER,10-25-2023,In Stock
SKU-500097,Product 98,Office,Apex Supply,855,150,543.9,WH-SYD,12-20-2024,In Stock
SKU-500098,Product 99,accessory,unknown,999999,27,17.35,ADE,32 Jan 2025,In Stock
SKU-500099,Product 100,Accessories,Apex Supply,182,135,10O.50,WH-MEL,10 Aug 2025,In Stock
SKU-500100,Product 101,electronic,Nova Wholesale,90,9999,USD 120,WH-BNE,28 Dec 2025,low
SKU-500101,???,Home,Global Parts,800,18,1156.63,WH-MEL,30 Nov 2022,unknown
N/A,Product 103,Accessories,unknown,714,9999,519.28,WH-BNE,09.04.2021,In Stock
SKU-500103,Product 104,Electronics,Global Parts,42,16,742.97,WH-SYD,04-13-2022,In Stock
SKU-500104,Product 105,soft ware,Global Parts,,9999,"1,299.50",WH-ADE,,In Stock
SKU-500105,N/A,ELECTRONICS ,PrimeSource,805,80,728.8,WH-SYD,2022/04/21,In Stock
SKU-500106,???,Home,unknown,283,93,AUD 500,WH-ADE,2022-06-06,In Stock
SKU-500107,,Office,Metro Goods,378,61,1426.74,ADE,04/05/2026,In Stock
SKU-500108,Product 109,Electronics,GlobalParts,226,139,1521.84,WH-MEL,missing,N/A
SKU-500109,Product 110,electronics,Apex Supply,535,101,N/A,WH-SYD,08-27-2026,Not Available
NULL,Product 111,Unknown,PrimeSource,566,25,2181.65,WH-ADE,31/02/2026,In Stock
SKU 500111,Product 112,Office,nova wholesale,560,118,"1,299.50",WH-BNE,06-16-2022,In Stock
SKU-500112,Unknown Item,Electronics,Nova Wholesale,591,143,1168.63,,04.12.2021,In Stock
SKU-500113,Product 114,Office,Metro Goods,211,96,1391.6,ADE,06-01-2021,In Stock
SKU-500021,Product 22,Software,Global Parts,527,103,731.37,unknown,05-09-2026,Available
SKU-500115,Product 116,N/A,PrimeSource,"1,200",twenty,1676.55,Melbourne WH,16 Jan 2024,In Stock
sku-500116,Product 117,Software,Vertex Trading,178,31,10O.50,WH-bne,07-28-2024,In Stock
SKU-500117,Product 118,Home,Apex Supply,167,60,$99.99,WH-MEL,17/07/2026,LOW STOCK 
SKU-500118,Product 119,Office,123,511,46,1502.0,WH-PER,26.02.2023,In Stock
SKU-500119,Product 120,Software,Vertex Trading,500 units,N/A,2323.65,WH-BNE,2024/09/20,In Stock
,N/A,Home,Apex Supply,260,47,"1,299.50",WH-MEL,99-99-9999,In Stock
SKU-500121,Product 122,soft ware,Global Parts,849,140,452.78,WH-PER,16.01.2021,Available
SKU-500122,Product 123,Home,Apex Supply,1O0,-10,873.18,WH-PER,2021/08/29,In Stock
SKU-500123,Product 124,office supplies,PrimeSource,639,61,2366.51,Sydney Warehouse,04.02.2024,In Stock
SKU-500124,Product 125,electronic,Metro Goods,ten,0,411.26,ADE,03-06-2026,0
SKU-500125,Product 126,ELECTRONICS ,Apex Supply,306,39,10O.50,WH-MEL,2024-09-14,In Stock
SKU-500126,Product 127,Home,Apex Supply,652,28,521.16,WH-PER,?,in stock
SKU-500127,Product 128,Electronics,N/A,466,1O,1642.71,WH-ADE,27/02/2022,In Stock
SKU-500128,Product 129,Office,Vertex Trading,260,33,852.73,WH-MEL,,In Stock
12345,product_name,Home,Vertex Trading,524,133,"1,299.50",WH-SYD,11 Sep 2023,In Stock
SKU-500130,Product 131,Unknown,PrimeSource,617,51,2138.87,,none,In Stock
SKU-500131,123456,Home,Global Parts,,36,AUD 500,WH-ADE,08-24-2025,in stock
SKU-500132,Product 133,Unknown,Global Parts,999999,61,1427.94,WH-PER,not-a-date,In Stock
SKU 500133,Product 134,Home & Living,Nova Wholesale,454,0,461.1,WH-PER,2025/10/03,LOW STOCK 
SKU-500134,Product 135,Home,Nova Wholesale,894,50 units,"1,299.50",unknown,31/02/2026,Available
SKU-500135,Product 136,Electronics,Vertex Trading,109,117,1181.66,WH-SYD,Feb 30 2025,Low Stock
SKU-500136,Product 137,Home,Nova Wholesale,187,20,$99.99,WH-MEL,2023-11-08,In Stock
sku-500137,Product 138,Software,Vertex Trading,685,70,398.82,WH-ADE,16.05.2022,In Stock
SKU-500138,Product 139,accessory,PrimeSource,355,"1,000",FREE,WH-PER,28 Sep 2021,In Stock
SKU-500139,Unknown Item,N/A,Apex Supply,255,122,1610.32,ADE,28/06/2021,In Stock
SKU-500140,Product 141,Office,Global Parts,638,twenty,$99.99,WH-ADE,06.01.2025,
SKU-500141,N/A,Accessories,Metro Goods,NaN,115,FREE,ADE,2023-12-14,Not Available
SKU-500142,,Unknown,Metro Goods,1O0,83,-250,WH-BNE,2026-02-31,Low Stock
SKU-500077,Product 144,Electronics,Vertex Trading,1O0,"1,000",1370.08,unknown,08-01-2026,In Stock
sku-500144,Product 145,Home & Living,Nova  Wholesale,0,"1,000",2438.38,WH-bne,2026-13-44,Out of Stock
SKU-500145,Product 146,Electronics,Nova,642,67,1510.95,WH-MEL,12.05.2024,In Stock
12345,Product 147,Electronics,Nova Wholesale,842,0,1085.12,WH-MEL,2024-11-04,N/A
SKU-500147,Product 148,OFFICE,Apex,,21,1436.97,WH-SYD,2025/04/29,In Stock
SKU-500148,Product 149,Home & Living,Nova Wholesale,NaN,"1,000",2470.71,WH-MEL,25/07/2026,Low Stock
SKU-500149,Product 150,Electronics,Nova Wholesale,338,27,124.56,ADE,15.09.2022,In Stock
SKU-500039,Product 40,soft ware,Metro Goods,NaN,140,343.83,WH-PER,25/04/2025,In Stock
SKU-500041,product_name,soft ware,Vertex Trading,347,92,AUD 500,WH-MEL,13/13/26,In Stock
SKU-500152,Product 153,Electronics,PrimeSource,500 units,113,353.47,WH-MEL,03/09/2024,low
SKU-500153,Product 154,Home,Nova Wholesale,619,138,USD 120,WH-BNE,22.08.2021,In Stock
SKU-500154,Unknown Item,Software,Vertex Trading,461,32,AUD 500,Sydney Warehouse,29/07/2023,In Stock
SKU-500155,Product 156,Software,unknown,1O0,43,743.51,WH-MEL,29/01/2025,Not Available
sku-500156,Product 157,Accessories,N/A,999999,124,,WH-SYD, ,Low Stock
SKU-500157,Product 158,electronics,Nova Wholesale,341,68,AUD 500,WH-PER,10/04/2024,In Stock
SKU-????,Product 159 ,Software,PrimeSource,615,118,9999999,Melbourne WH,02 Jan 2024,In Stock
SKU-500159,Product 160,N/A,PrimeSource,500 units,81,10O.50,WH-SYD,09/03/2025,In Stock
SKU-500160,Product 161,Accessories ,PrimeSource,618,133,644.05,WH-PER,2023/07/28,In Stock
SKU-500161,Product 162,Accessories,Nova Wholesale ,547,92,1580.7,SYD,12/06/2025,In Stock
SKU-500162,Product 163,Electronics,GlobalParts,600,150,784.2,WH-ADE,24.02.2024,
SKU-500163,Product 164,Software,,585,61,1835.83,Sydney Warehouse,04-15-2026,outofstock
SKU-500164,Product 165,Home,Nova Wholesale,573,27,364.56,,16/01/2026,In Stock
SKU-500165,Product 166,Home,Nova,765,38,315.01,WH-SYD,,In Stock
SKU-500166,Product  167,soft ware,Prime Source,0.5,98,N/A,unknown,2021-12-23,In Stock
SKU-500167,Product 168,N/A,Vertex Trading,568,23,531.29,WH-SYD,   ,low
SKU-500168,Product 169,Electronics,,779,24,$99.99,WH-BNE,2023-05-15,In Stock
SKU-500169,Product 170,OFFICE,Apex Supply,213,N/A,-250,SYD,02-15-2024,unknown
SKU-500170,Product 171,Accessories,Vertex Trading,352,,252.89,WH-MEL,11 Sep 2026,INSTOCK
SKU-500171,Product 172,Office,Apex,NaN,54,"1,299.50",,08 Nov 2023,unknown
SKU-500172,Product 173,Home & Living,Metro Goods,300,140,2.96,WH-MEL,20/09/2021,In Stock
SKU-500173,Product 174,office supplies,unknown,132,NaN,520.38,WH-SYD,23.07.2024,In Stock
SKU-500174,Product 175,Office,PrimeSource,443,37,2318.06,wh-per ,-,In Stock
SKU-500175,Product 176,Office,Vertex Trading,999999,87,178.9,unknown,06 Oct 2024,N/A
SKU-500176,Product 177,Office,Apex Supply,-50,N/A,268.26,WH-MEL,2023/07/06,INSTOCK
SKU-500126,Product 127,Home,Apex Supply,652,28,521.16,WH-PER,?,in stock
SKU-500178,Product 179,Software,,629,23,1542.96,WH-BNE,17.04.2025,In Stock
SKU-500179,Product,accessory,unknown,500 units,150,2156.44,WH-PER,2022-01-08,low
SKU-500180,Product 181,Home,Metro Goods,794,78,1667.06,WH-bne,13 Jun 2025,In Stock
SKU-500181,Product 182,Home,Global Parts,157,110,USD 120,WH-bne,13.07.2021,Available
SKU-500182,Product 183,ELECTRONICS ,PrimeSource,41,15,"2 500,00",Sydney Warehouse,08-19-2026,In Stock
SKU-500183,Product 184,Unknown,Apex Supply,"1,200",113,1627.79,WH-ADE,06.07.2024,In Stock
SKU-500184,Product 185,Home,Nova Wholesale,195,1O,1595.78,WH-MEL,11 Aug 2021,In Stock
SKU-500185,N/A,,Apex Supply,740,N/A,9999999,WH-ADE,2026-13-44,low
SKU-500186,Product 187,Home,Nova Wholesale,1O0,9999,2029.2,WH-MEL,18 Jul 2022,In Stock
SKU-500187,Product 188,Unknown,Nova Wholesale,321,79,1437.68,WH-bne,04/06/2022,Not Available
SKU-500188,Product 189,Office,Vertex Trading,"1,200",68,-250,WH-BNE,2021-05-30,OOS
SKU-500189,Product 190,Software,N/A,N/A,9999,2101.31,WH-SYD,25/11/2023,In Stock
SKU-500190,Product 191,Home,Nova Wholesale,299,117,328.74,WH-MEL,02-03-2025,In Stock
SKU-500191,Product 192,Home,PrimeSource,ten,59,FREE,WH-SYD,2022-05-09,In Stock
SKU-500192,Product 193,Home,Prime Source,499,9999,1061.48,WH-ADE,2023-02-04,In Stock
SKU-500193,Product 194,Office,Apex Supply,217,96,957.95,Sydney Warehouse,2022-10-24,In Stock
SKU-500194,Product 195,Accessories,Vertex Trading,342,146,10O.50,Sydney Warehouse,2023/02/24,In Stock
,Product 196,office supplies,PrimeSource,NaN,106,1111.05,WH-ADE,06.04.2023,outofstock
SKU-500196,Product 197,N/A,Metro Goods,365,115,1438.31,WH-MEL,18/09/2026,In Stock
SKU-500197,Product 198,Electronics,Nova Wholesale,557,99,1624.97,WH-SYD,2024/03/20,in stock
SKU-500198,,Office,Apex Supply,399,60,445.41,Melbourne WH,,In Stock
NULL,Product 200,Software,Vertex Trading,,77,1068.14,WH-PER,31/02/2026,In Stock
SKU-500200,Product 201,Accessories,N/A,354,1O,391.01,WH-PER,06/06/2026,In Stock
SKU-500201,Product 202,OFFICE,Global Parts,876,123,1238.46,WH-ADE,29/09/2022,N/A
SKU-500202,Product 203,Accessories,Vertex Trading,183,92,835.7,Melbourne WH,01-08-2026,In Stock
SKU-500191,Product 192,Home,PrimeSource,ten,59,FREE,WH-SYD,2022-05-09,In Stock
SKU-500204,N/A,Electronics,Metro Goods,-50,31,1722.59,WH-SYD,not-a-date,In Stock
SKU 500205,N/A,Software,,300,50,,WH-BNE,31/02/2026,In Stock
SKU-500206,Product 207,Office,Apex Supply,999999,1O,10O.50,WH-SYD,03 Mar 2025,INSTOCK
SKU-500207,Product 208,ELECTRONICS ,PrimeSource,275,119,775.18,ADE,21.08.2026,In Stock
SKU-500208,Product 209,Software,Global Parts,330,140,435.45,WH-MEL,04 Sep 2025,In Stock
SKU-500209,product_name,Office,PrimeSource,223,100,USD 120,WH-PER,unknown,N/A
,Product,Home,Nova Wholesale,,132,2279.17,WH-ADE,99-99-9999,1
SKU-500211,Product 212,Home,Apex,382,86,55.38,wh-per ,30 Jul 2026,In Stock
SKU-500212,123456,Home,GlobalParts,235,N/A,1775.71,WH-BNE,unknown,
SKU-500213,Product 214,Home & Living,Metro Goods,NaN,1O,2465.21,WH-BNE,06 Feb 2022,In Stock
SKU-500214,Product 215,Software,Global Parts,712,37,1545.09,WH-SYD,16.01.2025,OOS
sku-500215,123456,Software,Metro Goods,565,29,"2 500,00",WH-PER,19 Jun 2025,LOW STOCK 
SKU-500216,Product 217,Accessories,Apex Supply,512,124,39.56,WH-ADE,12/05/2022,LOW STOCK 
SKU-500217,Product 218,Home,Nova,859,NaN,AUD 500,WH-ADE,03-26-2024,In Stock
SKU-500218,Product 219,Home,Apex Supply,221,58,653.36,WH-ADE,08-30-2025,Not Available
SKU-500219,Product 220,OFFICE,Nova Wholesale,193,26,531.91,WH-BNE,09.09.2023,In Stock
SKU-500220,Product 221,Home,Nova Wholesale,"1,200",68,338.93,WH-BNE,13 Nov 2022,In Stock
NULL,Product 222,Software,,320,130,1919.14,WH-bne,2024-08-12,In Stock
,Product 223,Electronics,Vertex Trading,610,32,FREE,unknown,2026-03-11,outofstock
NULL,Product 224,accessory,Global Parts,370,123,1472.09,WH-BNE,09.08.2024,Not Available
SKU-500224,Product 225,Electronics,unknown,44,twenty,2273.48,WH-BNE,2022/02/05,Low Stock
SKU-500225,Product 226,Home,Nova Wholesale,,83,2064.25,WH-PER,08/05/2023,Available
SKU-500226,Product 227,Accessories,Metro Goods,285,149,465.02,WH-MEL,2026-01-04,In Stock
,Product 228,Electronics,GlobalParts,N/A,120,1253.24,WH-ADE,04.05.2022,LOW STOCK 
SKU-????,Product 229,Software,Nova Wholesale,897,130,728.69,WH-MEL,06 Jun 2021,In Stock
SKU-500229,Product 230,Accessories ,Nova Wholesale,644,65,49.16,WH-MEL,06-28-2024,In Stock
SKU-500230,Product 231,Office,Metro Goods,194,109,656.05,WH-MEL,N/A,In Stock
SKU-500231,???,Home,Apex,894,"1,000",2422.97,WH-BNE,Feb 30 2025,N/A
SKU-500232,Product 233,Electronics,PrimeSource,706,137,1507.79,WH-BNE,2023-12-25,N/A
SKU-500082,Product 234,Accessories ,Global Parts,283,NaN,307.45,WH-SYD,31/02/2026,In Stock
SKU-500234,Product 235,Home,Metro Goods,N/A,37,1348.0,WH-SYD,23 Apr 2025,In Stock
SKU-500235,Product 236,Electronics,Apex,-1,109,1964.89,ADE,2026-13-44,In Stock
SKU-500236,Product 237,,Metro Goods,597,105,1072.73,SYD,NA,In Stock
SKU 500237,Product 238,Home & Living,PrimeSource,111,130,1169.27,WH-ADE,2026/09/21,outofstock
SKU-500238,product_name,Accessories,Metro Goods,549,50 units,N/A,WH-BNE,09-30-2026,OOS
SKU-500239,Product 240,Accessories,Vertex Trading,363,50,1508.78,WH-MEL,13/13/26,In Stock
SKU-500138,Product 139,accessory,PrimeSource,355,"1,000",FREE,WH-PER,28 Sep 2021,In Stock
SKU-500241,Product 242,Software,Metro Goods,398,9999,-250,WH-MEL,2023/06/07,In Stock
SKU-500080,Product 81,Software,Apex Supply,"1,200",9999,2019.28,WH-SYD,20/01/2021,N/A
SKU-500243,Product 244,Electronics,Metro Goods,875,97,USD 120,WH-ADE,NULL,In Stock
SKU-500244,123456,Home,Metro Goods,153,56,FREE,WH-ADE,2025/00/12,Available
SKU-500245,Product 246,Home,Metro Goods,592,110,419.95,WH-ADE,27 Oct 2021,In Stock
N/A,N/A,Electronics,PrimeSource,720,145,1057.03,WH-BNE,31/07/2023,In Stock
SKU-500247,Unknown Item,Office,Nova Wholesale,ten,,2454.09,WH-SYD,05-09-2022,In Stock
SKU-500248,Product 249,Accessories,Global Parts,-1,110,2158.16,SYD,2023/02/24,In Stock
SKU-500249,Product 250,Home,Apex Supply,0.5,138,,WH-ADE,,In Stock
SKU-500250,Product 251,Electronics,Global Parts,63,28,1309.86,WH-bne,19/02/2022,in stock
SKU-500251,Product 252,Home,PRIMESOURCE,665,96,1421.73,WH-ADE,06 Apr 2024,In Stock
SKU-500252,Product 253,Accessories,Vertex Trading,399,107,9999999,WH-SYD,08-13-2024,In Stock
SKU-500253, Product 254,,Apex,370,89,1999.86,N/A,2022/11/11,In Stock
SKU-500254,product_name,Electronics,Nova Wholesale,1O0,89,"1.299,50",WH-SYD,01.04.2026,
SKU-500076,Product,Home,  Global Parts  ,803,33,"2 500,00",WH-SYD,,In Stock
SKU-500256,Product 257 ,electronic,Vertex Trading,638,-10,"2 500,00",WH-MEL,2021/10/25,In Stock
SKU-500257,Product 258,office supplies,,884,0,1545.32,N/A,25.04.2024,In Stock
SKU-500258,Product 259,Home & Living,Nova Wholesale,674,23,819.32,WH-ADE,14.04.2026,0
SKU-500259,Product 260,accessory,Vertex Trading,578,115,1283.7,WH-MEL,2023-06-12,In Stock
SKU-500260,,Electronics,Vertex Trading,500 units,30,2154.9,WH-ADE,missing,In Stock
sku-500261,Product 262,Accessories,Vertex Trading,374,0,170.47,WH-SYD,05/09/2023,In Stock
,???,Accessories,Apex,999999,17,458.49,WH-BNE,2022-01-31,LOW STOCK 
12345,Product 264,Electronics,PrimeSource,NaN,92,AUD 500,WH-ADE,2025-03-07,In Stock
,Product,Home,Vertex Trading,506,"1,000",1421.43,WH-MEL,03-15-2021,In Stock
N/A,Product 266,accessory,Global Parts,301,18,"1.299,50",WH-ADE,-,LOW STOCK 
SKU-500077,Product 78,accessory,PrimeSource,396,66,931.54,WH-BNE,22.06.2023,In Stock
SKU-500267,Product 268,Home,Metro Goods,27,29,-250,WH-SYD,2021-09-30,Low Stock
SKU-500268,Product 269,Office,PrimeSource,893,43,9999999,N/A,Feb 30 2025,In Stock
SKU-500269,Product 270,Unknown,Nova Wholesale,12,79,1124.06,SYD,13.01.2021,Low Stock
SKU-500270,123456,Home,APEX SUPPLY,1O0,51,1113.17,WH-SYD,02-18-2025,In Stock
sku-500271,Product 272,electronic,Global Parts,619,27,1349.68,WH-SYD,19.02.2025,in stock
SKU-500272,Product 273,Office,Apex Supply,540,36,$99.99,WH-SYD,29 Jul 2025,1
SKU-500273,Product 274,Home & Living,Apex Supply,507,82,258.8,WH-BNE,01-06-2024,In Stock
SKU-500201,Product 275,accessory,Metro Goods,212,125,1884.74,WH-MEL,07-29-2021,in stock
SKU-500275,Product 276,Software,Nova Wholesale,42,26,1611.46,WH-PER,2025/05/02,In Stock
N/A,Product 277,soft ware,Nova Wholesale,29,65,1090.19,Melbourne WH,26/01/2023,Low Stock
SKU-????,Product 278,OFFICE,Metro Goods,44,N/A,954.01,WH-ADE,30 Dec 2024,Low Stock
SKU-500278,Product 279,Home,Apex Supply,999999,63,252.72,WH-BNE,28.08.2026,In Stock
